source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
/3,0,AURUM_UNITS,/3,0,None,1970-01-01,2099-12-31,
ku/L,0,AURUM_UNITS,ku/L,8810,UCUM,1970-01-01,2099-12-31,
{pack-years},0,AURUM_UNITS,{pack-years},0,None,1970-01-01,2099-12-31,
pack/years,0,AURUM_UNITS,pack/years,0,None,1970-01-01,2099-12-31,
L/mn,0,AURUM_UNITS,L/mn,0,None,1970-01-01,2099-12-31,
resp/min,0,AURUM_UNITS,resp/min,0,None,1970-01-01,2099-12-31,
/15,0,AURUM_UNITS,/15,0,None,1970-01-01,2099-12-31,
/30,0,AURUM_UNITS,/30,0,None,1970-01-01,2099-12-31,
KUa/L,0,AURUM_UNITS,KUa/L,0,None,1970-01-01,2099-12-31,
{Points},0,AURUM_UNITS,{Points},0,None,1970-01-01,2099-12-31,
AUDIT C Alcohol Score,0,AURUM_UNITS,AUDIT C Alcohol Score,0,None,1970-01-01,2099-12-31,
packs/yr,0,AURUM_UNITS,packs/yr,0,None,1970-01-01,2099-12-31,
L/S,0,AURUM_UNITS,L/S,0,None,1970-01-01,2099-12-31,
risk/16,0,AURUM_UNITS,risk/16,0,None,1970-01-01,2099-12-31,
/16,0,AURUM_UNITS,/16,0,None,1970-01-01,2099-12-31,
/35,0,AURUM_UNITS,/35,0,None,1970-01-01,2099-12-31,
l,0,AURUM_UNITS,l,8519,UCUM,1970-01-01,2099-12-31,
beats/min,0,AURUM_UNITS,beats/min,8581,UCUM,1970-01-01,2099-12-31,
{Resp}/min,0,AURUM_UNITS,{Resp}/min,0,None,1970-01-01,2099-12-31,
part/mill,0,AURUM_UNITS,part/mill,0,None,1970-01-01,2099-12-31,
L/sec,0,AURUM_UNITS,L/sec,32700,UCUM,1970-01-01,2099-12-31,
Score,0,AURUM_UNITS,Score,44777566,UCUM,1970-01-01,2099-12-31,
/4,0,AURUM_UNITS,/4,0,None,1970-01-01,2099-12-31,
l minute,0,AURUM_UNITS,l minute,9211,UCUM,1970-01-01,2099-12-31,
lit/sec,0,AURUM_UNITS,lit/sec,0,None,1970-01-01,2099-12-31,
/16 (>2 signfic),0,AURUM_UNITS,/16 (>2 signfic),0,None,1970-01-01,2099-12-31,
0-140,0,AURUM_UNITS,0-140,0,None,1970-01-01,2099-12-31,
per cent,0,AURUM_UNITS,per cent,8554,UCUM,1970-01-01,2099-12-31,
beats/minute,0,AURUM_UNITS,beats/minute,0,None,1970-01-01,2099-12-31,
Smoking Age,0,AURUM_UNITS,Smoking Age,0,None,1970-01-01,2099-12-31,
/40,0,AURUM_UNITS,/40,0,None,1970-01-01,2099-12-31,
l PER SEC,0,AURUM_UNITS,l PER SEC,44777659,UCUM,1970-01-01,2099-12-31,
G/DLmmol,0,AURUM_UNITS,G/DLmmol,0,None,1970-01-01,2099-12-31,
