source_code	source_concept_id	source_vocabulary_id	source_code_description	target_concept_id	target_vocabulary_id	valid_start_date	valid_end_date	invalid_reason
/21	0	JNJ_UNITS	/21	44777566	UCUM	2023-01-20	2099-12-31	
/24	0	JNJ_UNITS	/24	44777566	UCUM	2023-01-20	2099-12-31	
/24h	0	JNJ_UNITS	/24h	44777556	UCUM	2023-01-20	2099-12-31	
/(24.h)	0	JNJ_UNITS	per 24 Hours	44777556	UCUM	1970-01-01	2099-12-31	
/25	0	JNJ_UNITS	/25	44777566	UCUM	2023-01-20	2099-12-31	
/27	0	JNJ_UNITS	/27	44777566	UCUM	2023-01-20	2099-12-31	
/3	0	JNJ_UNITS	/3	44777566	UCUM	2023-01-20	2099-12-31	
30	0	JNJ_UNITS	30	0	None	1970-01-01	2099-12-31	
/30	0	JNJ_UNITS	/30	44777566	UCUM	2023-01-20	2099-12-31	
300	0	JNJ_UNITS	300	8842	UCUM	1970-01-01	2099-12-31	
/35	0	JNJ_UNITS	/35	44777566	UCUM	2023-01-20	2099-12-31	
3.5	0	JNJ_UNITS	3.5	0	None	1970-01-01	2099-12-31	
3.8	0	JNJ_UNITS	3.8	0	None	1970-01-01	2099-12-31	
3.mo	0	JNJ_UNITS	3.mo	44777661	UCUM	2023-01-20	2099-12-31	
/4	0	JNJ_UNITS	/4	44777566	UCUM	2023-01-20	2099-12-31	
/40	0	JNJ_UNITS	/40	44777566	UCUM	2023-01-20	2099-12-31	
/42	0	JNJ_UNITS	/42	44777566	UCUM	2023-01-20	2099-12-31	
50% cell culture infectious dose	0	JNJ_UNITS	50% cell culture infectious dose	9276	UCUM	2023-01-20	2099-12-31	
50% tissue culture infectious dose	0	JNJ_UNITS	50% tissue culture infectious dose	9414	UCUM	2023-01-20	2099-12-31	
5 millilitre medicine spoonful - unit of product usage	0	JNJ_UNITS	5 millilitre medicine spoonful - unit of product usage	9416	UCUM	2023-01-20	2099-12-31	
/6	0	JNJ_UNITS	/6	44777566	UCUM	2023-01-20	2099-12-31	
/60	0	JNJ_UNITS	/60	44777566	UCUM	2023-01-20	2099-12-31	
6000536CULTURE	0	JNJ_UNITS	6000536CULTURE	0	None	1970-01-01	2099-12-31	
6517	0	JNJ_UNITS	6517	0	None	1970-01-01	2099-12-31	
/7	0	JNJ_UNITS	/7	44777566	UCUM	2023-01-20	2099-12-31	
/70	0	JNJ_UNITS	/70	44777566	UCUM	2023-01-20	2099-12-31	
7.5	0	JNJ_UNITS	7.5	0	None	1970-01-01	2099-12-31	
8	0	JNJ_UNITS	8	0	None	1970-01-01	2099-12-31	
/8	0	JNJ_UNITS	/8	44777566	UCUM	2023-01-20	2099-12-31	
8.5	0	JNJ_UNITS	8.5	0	None	1970-01-01	2099-12-31	
899	0	JNJ_UNITS	899	0	None	1970-01-01	2099-12-31	
/9	0	JNJ_UNITS	/9	44777566	UCUM	2023-01-20	2099-12-31	
a	0	JNJ_UNITS	Year	9448	UCUM	1970-01-01	2099-12-31	
%{abnormal}	0	JNJ_UNITS	%{abnormal}	9216	UCUM	2023-01-20	2099-12-31	
Abs	0	JNJ_UNITS	Absorbency	0	None	1970-01-01	2099-12-31	
ACE untis	0	JNJ_UNITS	Angiotensin converting enzyme units	0	None	1970-01-01	2099-12-31	
[acr_br]	0	JNJ_UNITS	[acr_br]	33049	UCUM	2023-01-20	2099-12-31	
acre	0	JNJ_UNITS	acre	33050	UCUM	2023-01-20	2099-12-31	
acre (British)	0	JNJ_UNITS	acre (British)	33049	UCUM	2023-01-20	2099-12-31	
acre (US)	0	JNJ_UNITS	acre (US)	33050	UCUM	2023-01-20	2099-12-31	
[acr_us]	0	JNJ_UNITS	[acr_us]	33050	UCUM	2023-01-20	2099-12-31	
activity	0	JNJ_UNITS	activity	8687	UCUM	2023-01-20	2099-12-31	
{activity}	0	JNJ_UNITS	{activity}	8687	UCUM	2023-01-20	2099-12-31	
%{activity}	0	JNJ_UNITS	%{activity}	8687	UCUM	2023-01-20	2099-12-31	
{actuat}	0	JNJ_UNITS	{actuat}	45744809	UCUM	2023-01-20	2099-12-31	
actuation	0	JNJ_UNITS	actuation	45744809	UCUM	2023-01-20	2099-12-31	
Actuation	0	JNJ_UNITS	Actuation	45744809	UCUM	2023-01-20	2099-12-31	
a day	0	JNJ_UNITS	a day	44777556	UCUM	2023-01-20	2099-12-31	
a/day	0	JNJ_UNITS	a/day	44777556	UCUM	2023-01-20	2099-12-31	
Aerosol	0	JNJ_UNITS	Aerosol	0	None	1970-01-01	2099-12-31	
a_g	0	JNJ_UNITS	a_g	9449	UCUM	2023-01-20	2099-12-31	
ag/{cell}	0	JNJ_UNITS	ag/{cell}	32695	UCUM	2023-01-20	2099-12-31	
{AHG}eq/mL	0	JNJ_UNITS	{AHG}eq/mL	9422	UCUM	2023-01-20	2099-12-31	
AHG-equivalent per milliliter	0	JNJ_UNITS	AHG-equivalent per milliliter	9422	UCUM	2023-01-20	2099-12-31	
{ai}	0	JNJ_UNITS	{ai}	8478	UCUM	2023-01-20	2099-12-31	
a.i.	0	JNJ_UNITS	a.i.	8478	UCUM	1970-01-01	2099-12-31	
AI	0	JNJ_UNITS	Adequate Intake (AI)	8478	UCUM	1970-01-01	2099-12-31	
a_j	0	JNJ_UNITS	a_j	9450	UCUM	2023-01-20	2099-12-31	
akat	0	JNJ_UNITS	akat	710192	UCUM	2023-01-20	2099-12-31	
[alcohol'U]	0	JNJ_UNITS	[alcohol'U]	710235	UCUM	2023-01-20	2099-12-31	
[alcohol'U]/(24.h)	0	JNJ_UNITS	[alcohol'U]/(24.h)	710236	UCUM	2023-01-20	2099-12-31	
alcohol unit	0	JNJ_UNITS	alcohol unit	710235	UCUM	2023-01-20	2099-12-31	
alcohol unit per 24 hours	0	JNJ_UNITS	alcohol unit per 24 hours	710236	UCUM	2023-01-20	2099-12-31	
alcohol unit per week	0	JNJ_UNITS	alcohol unit per week	710237	UCUM	2023-01-20	2099-12-31	
Alcohol units	0	JNJ_UNITS	Alcohol units	710235	UCUM	2023-01-20	2099-12-31	
alcohol units/day	0	JNJ_UNITS	alcohol units/day	710236	UCUM	2023-01-20	2099-12-31	
Alcohol units per week	0	JNJ_UNITS	Alcohol units per week	710237	UCUM	2023-01-20	2099-12-31	
alcohol units/week	0	JNJ_UNITS	alcohol units/week	710237	UCUM	2023-01-20	2099-12-31	
